Experiment,Fold,Accuracy,F1-Score,Precision,Recall,IoU,Dice,Pixel Accuracy,Pointing Game,Saliency IoU,Deletion Score (AUC),Insertion Score (AUC)
MAAL_V4,0,0.9832535885167464,0.9876281371509368,0.9928926794598436,0.9824191279887482,0.8532926711169156,0.9010935407696348,0.9901556481014598,0.9850746268656716,0.7180227819107362,0.8012049634537596,0.9881103306452732
MAAL_V4,1,0.9866028708133971,0.9899856938483548,0.991404011461318,0.9885714285714284,0.8633690015836195,0.9113050798575084,0.9901920611208136,0.9848484848484848,0.7923322744441755,0.8106304518295943,0.9874986449708087
MAAL_V4,2,0.9880895664602192,0.9910490511994272,0.98927805575411,0.9928263988522238,0.8616867471824993,0.9083559522123048,0.9906983492952404,0.984126984126984,0.789466383674788,0.8094989492033844,0.9901698727456348
MAAL_V4,3,0.9851603638104356,0.988820771727371,0.994198694706309,0.9835007173601148,0.8564598190061974,0.9041048234159296,0.991034863573132,1.0,0.7637047988753165,0.8284028592033146,0.9887612964597442
MAAL_V4,4,0.9823641563393708,0.986976416754664,0.9873239436619718,0.9866291344123856,0.8423028181899678,0.8919416702154911,0.9872301383451982,1.0,0.7165410940283565,0.68486269576154,0.9807849804645008
MAAL_V5,0,0.9818181818181818,0.986543909348442,0.99358059914408,0.979606188466948,0.8582855372717886,0.904884238134731,0.9901412725448608,0.9701492537313432,0.756092082875878,0.5414173372207365,0.9547086064264164
MAAL_V5,1,0.9889952153110048,0.9917769038255272,0.992841803865426,0.9907142857142858,0.8600490598967581,0.9090981212529268,0.9901176040822808,1.0,0.7551828254804467,0.5702815145953398,0.9475124077467516
MAAL_V5,2,0.9895188184849928,0.9921146953405018,0.991404011461318,0.9928263988522238,0.8552634129018495,0.9024570141777848,0.9904165358254404,1.0,0.8196724284262884,0.8454892281613114,0.9994592275884416
MAAL_V5,3,0.987075155576831,0.9903121636167922,0.990667623833453,0.9899569583931134,0.8610182260022019,0.9073403071273456,0.9914258059227106,0.9838709677419356,0.7743437520919307,0.8395756019201908,0.9989376371906648
MAAL_V5,4,0.9833174451858914,0.9876456053653372,0.9907932011331444,0.984517945109078,0.8460581465200945,0.8942658269044125,0.9876396728284432,1.0,0.7399466290056192,0.7518836962951437,0.9739596173237784
MAAL_V6,0,0.9822966507177032,0.9869488536155204,0.9900920028308564,0.9838255977496484,0.8557823137803511,0.903314324942502,0.990009886748863,0.9701492537313432,0.7485296744019238,0.9146829864095788,0.9962396020333824
MAAL_V6,1,0.9875598086124402,0.9907010014306152,0.9921203438395416,0.9892857142857144,0.8621845498229518,0.9101363574013566,0.9903853156349876,0.9848484848484848,0.7508468379577001,0.6813178575557135,0.9802194664819224
MAAL_V6,2,0.983801810385898,0.9877785765636232,0.989913544668588,0.9856527977044476,0.8577874591856292,0.904851518797152,0.9905532174038164,1.0,0.7981004362541532,0.9496280820426782,0.99615513176199
MAAL_V6,3,0.9851603638104356,0.9888849049838652,0.9885304659498207,0.9892395982783356,0.8584907551606497,0.905536941506646,0.9910281174110644,1.0,0.7533918616752471,0.7427340503264972,0.9661562062739846
MAAL_V6,4,0.9814108674928504,0.986233674549947,0.9893767705382436,0.9831104855735396,0.8445062312212858,0.8930819043607423,0.987387043057066,0.9848484848484848,0.7205980168375492,0.988632921491411,0.9939118138247676
MAAL_V7,0,0.9846889952153112,0.9887244538407328,0.990819209039548,0.9866385372714488,0.8552846466050004,0.9023047396630952,0.990118803399982,0.9850746268656716,0.7564414675111202,0.5458042246849366,0.9453978699979064
MAAL_V7,1,0.9885167464114832,0.991422444603288,0.992131616595136,0.9907142857142858,0.8635942195401047,0.9114910382213016,0.9902360529610604,0.9848484848484848,0.8003538070303021,0.8217288813182236,0.991422844484491
MAAL_V7,2,0.9852310624106716,0.9888769285970578,0.9892318736539842,0.988522238163558,0.8559718755158511,0.902971465479244,0.9902262669621092,1.0,0.8161451319853464,0.8270377776839645,0.9881559544715972
MAAL_V7,3,0.9856390617520344,0.98921639108555,0.9913544668587896,0.9870875179340028,0.860923991058812,0.9076077649087616,0.9911485169873092,1.0,0.8025895534984527,0.8073153494640382,0.9879068211682382
MAAL_V7,4,0.982840800762631,0.9873150105708244,0.9887085391672548,0.9859254046446164,0.8476984148675745,0.8966762938282706,0.9872894431605485,0.9848484848484848,0.7689103448031916,0.8732982236024602,0.9978820780588484
